time,channel1,channel2,channel3,channel4,channel5,channel6,channel7,channel8,class,label
45024,-3e-05,-2e-05,-1e-05,-2e-05,-1e-05,2e-05,0.0,-2e-05,1,2
18923,-2e-05,-6e-05,-0.0002,-0.00054,-5e-05,-0.00011,-4e-05,-1e-05,4,2
45024,-3e-05,-2e-05,-1e-05,-2e-05,-1e-05,2e-05,0.0,-2e-05,1,2
26392,0.0,2e-05,-1e-05,0.00013,-6e-05,0.0,-3e-05,0.0,5,2
45024,-3e-05,-2e-05,-1e-05,-2e-05,-1e-05,2e-05,0.0,-2e-05,1,2
72699,2e-05,9e-05,4e-05,0.00033,8e-05,-3e-05,-8e-05,8e-05,6,2
39526,-3e-05,-1e-05,4e-05,-0.00019,-4e-05,-3e-05,0.0,-3e-05,2,2
53460,0.00084,0.00034,7e-05,2e-05,0.00017,0.00013,0.00051,0.00039,3,2
39526,-3e-05,-1e-05,4e-05,-0.00019,-4e-05,-3e-05,0.0,-3e-05,2,2
18923,-2e-05,-6e-05,-0.0002,-0.00054,-5e-05,-0.00011,-4e-05,-1e-05,4,2
39526,-3e-05,-1e-05,4e-05,-0.00019,-4e-05,-3e-05,0.0,-3e-05,2,2
26392,0.0,2e-05,-1e-05,0.00013,-6e-05,0.0,-3e-05,0.0,5,2
39526,-3e-05,-1e-05,4e-05,-0.00019,-4e-05,-3e-05,0.0,-3e-05,2,2
72699,2e-05,9e-05,4e-05,0.00033,8e-05,-3e-05,-8e-05,8e-05,6,2
53460,0.00084,0.00034,7e-05,2e-05,0.00017,0.00013,0.00051,0.00039,3,2
18923,-2e-05,-6e-05,-0.0002,-0.00054,-5e-05,-0.00011,-4e-05,-1e-05,4,2
53460,0.00084,0.00034,7e-05,2e-05,0.00017,0.00013,0.00051,0.00039,3,2
26392,0.0,2e-05,-1e-05,0.00013,-6e-05,0.0,-3e-05,0.0,5,2
53460,0.00084,0.00034,7e-05,2e-05,0.00017,0.00013,0.00051,0.00039,3,2
72699,2e-05,9e-05,4e-05,0.00033,8e-05,-3e-05,-8e-05,8e-05,6,2
18923,-2e-05,-6e-05,-0.0002,-0.00054,-5e-05,-0.00011,-4e-05,-1e-05,4,2
26392,0.0,2e-05,-1e-05,0.00013,-6e-05,0.0,-3e-05,0.0,5,2
18923,-2e-05,-6e-05,-0.0002,-0.00054,-5e-05,-0.00011,-4e-05,-1e-05,4,2
72699,2e-05,9e-05,4e-05,0.00033,8e-05,-3e-05,-8e-05,8e-05,6,2
26392,0.0,2e-05,-1e-05,0.00013,-6e-05,0.0,-3e-05,0.0,5,2
72699,2e-05,9e-05,4e-05,0.00033,8e-05,-3e-05,-8e-05,8e-05,6,2
2893,0.0,-2e-05,-3e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,1,3
35494,-7e-05,-8e-05,0.00025,3e-05,-0.00059,-0.00034,-0.00052,-0.00022,2,3
2893,0.0,-2e-05,-3e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,1,3
41813,0.00052,0.00078,0.00012,2e-05,-0.00011,-2e-05,5e-05,8e-05,3,3
2893,0.0,-2e-05,-3e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,1,3
17426,-5e-05,-8e-05,-0.00012,-7e-05,0.00039,0.00071,-0.00018,-3e-05,4,3
2893,0.0,-2e-05,-3e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,1,3
21927,0.00085,3e-05,-9e-05,0.0002,0.00064,8e-05,-8e-05,0.0,5,3
2893,0.0,-2e-05,-3e-05,-3e-05,-1e-05,-1e-05,-1e-05,-3e-05,1,3
27846,7e-05,-4e-05,0.00012,0.00012,0.00014,0.00021,-1e-05,5e-05,6,3
35494,-7e-05,-8e-05,0.00025,3e-05,-0.00059,-0.00034,-0.00052,-0.00022,2,3
41813,0.00052,0.00078,0.00012,2e-05,-0.00011,-2e-05,5e-05,8e-05,3,3
35494,-7e-05,-8e-05,0.00025,3e-05,-0.00059,-0.00034,-0.00052,-0.00022,2,3
17426,-5e-05,-8e-05,-0.00012,-7e-05,0.00039,0.00071,-0.00018,-3e-05,4,3
35494,-7e-05,-8e-05,0.00025,3e-05,-0.00059,-0.00034,-0.00052,-0.00022,2,3
21927,0.00085,3e-05,-9e-05,0.0002,0.00064,8e-05,-8e-05,0.0,5,3
35494,-7e-05,-8e-05,0.00025,3e-05,-0.00059,-0.00034,-0.00052,-0.00022,2,3
27846,7e-05,-4e-05,0.00012,0.00012,0.00014,0.00021,-1e-05,5e-05,6,3
41813,0.00052,0.00078,0.00012,2e-05,-0.00011,-2e-05,5e-05,8e-05,3,3
17426,-5e-05,-8e-05,-0.00012,-7e-05,0.00039,0.00071,-0.00018,-3e-05,4,3
41813,0.00052,0.00078,0.00012,2e-05,-0.00011,-2e-05,5e-05,8e-05,3,3
21927,0.00085,3e-05,-9e-05,0.0002,0.00064,8e-05,-8e-05,0.0,5,3
41813,0.00052,0.00078,0.00012,2e-05,-0.00011,-2e-05,5e-05,8e-05,3,3
27846,7e-05,-4e-05,0.00012,0.00012,0.00014,0.00021,-1e-05,5e-05,6,3
17426,-5e-05,-8e-05,-0.00012,-7e-05,0.00039,0.00071,-0.00018,-3e-05,4,3
21927,0.00085,3e-05,-9e-05,0.0002,0.00064,8e-05,-8e-05,0.0,5,3
17426,-5e-05,-8e-05,-0.00012,-7e-05,0.00039,0.00071,-0.00018,-3e-05,4,3
27846,7e-05,-4e-05,0.00012,0.00012,0.00014,0.00021,-1e-05,5e-05,6,3
21927,0.00085,3e-05,-9e-05,0.0002,0.00064,8e-05,-8e-05,0.0,5,3
27846,7e-05,-4e-05,0.00012,0.00012,0.00014,0.00021,-1e-05,5e-05,6,3
32209,-2e-05,0.0,0.0,-3e-05,-3e-05,0.0,0.0,0.0,1,4
35770,-0.00032,-0.00011,-0.00013,0.0,0.00014,0.0,-0.00011,-0.00014,2,4
32209,-2e-05,0.0,0.0,-3e-05,-3e-05,0.0,0.0,0.0,1,4
10039,0.0006,0.00016,-0.0003,-0.00014,-0.00013,-9e-05,-0.00015,0.00013,3,4
32209,-2e-05,0.0,0.0,-3e-05,-3e-05,0.0,0.0,0.0,1,4
49086,3e-05,-2e-05,-7e-05,-0.00026,-3e-05,0.00047,0.00013,1e-05,4,4
32209,-2e-05,0.0,0.0,-3e-05,-3e-05,0.0,0.0,0.0,1,4
21680,-9e-05,-9e-05,-9e-05,-0.00053,-0.00079,-0.0002,-5e-05,-4e-05,5,4
32209,-2e-05,0.0,0.0,-3e-05,-3e-05,0.0,0.0,0.0,1,4
56366,-0.00012,-0.00032,-9e-05,-0.00016,-0.00022,8e-05,-0.00015,-0.00016,6,4
35770,-0.00032,-0.00011,-0.00013,0.0,0.00014,0.0,-0.00011,-0.00014,2,4
10039,0.0006,0.00016,-0.0003,-0.00014,-0.00013,-9e-05,-0.00015,0.00013,3,4
35770,-0.00032,-0.00011,-0.00013,0.0,0.00014,0.0,-0.00011,-0.00014,2,4
49086,3e-05,-2e-05,-7e-05,-0.00026,-3e-05,0.00047,0.00013,1e-05,4,4
35770,-0.00032,-0.00011,-0.00013,0.0,0.00014,0.0,-0.00011,-0.00014,2,4
21680,-9e-05,-9e-05,-9e-05,-0.00053,-0.00079,-0.0002,-5e-05,-4e-05,5,4
35770,-0.00032,-0.00011,-0.00013,0.0,0.00014,0.0,-0.00011,-0.00014,2,4
56366,-0.00012,-0.00032,-9e-05,-0.00016,-0.00022,8e-05,-0.00015,-0.00016,6,4
10039,0.0006,0.00016,-0.0003,-0.00014,-0.00013,-9e-05,-0.00015,0.00013,3,4
49086,3e-05,-2e-05,-7e-05,-0.00026,-3e-05,0.00047,0.00013,1e-05,4,4
10039,0.0006,0.00016,-0.0003,-0.00014,-0.00013,-9e-05,-0.00015,0.00013,3,4
21680,-9e-05,-9e-05,-9e-05,-0.00053,-0.00079,-0.0002,-5e-05,-4e-05,5,4
10039,0.0006,0.00016,-0.0003,-0.00014,-0.00013,-9e-05,-0.00015,0.00013,3,4
56366,-0.00012,-0.00032,-9e-05,-0.00016,-0.00022,8e-05,-0.00015,-0.00016,6,4
49086,3e-05,-2e-05,-7e-05,-0.00026,-3e-05,0.00047,0.00013,1e-05,4,4
21680,-9e-05,-9e-05,-9e-05,-0.00053,-0.00079,-0.0002,-5e-05,-4e-05,5,4
49086,3e-05,-2e-05,-7e-05,-0.00026,-3e-05,0.00047,0.00013,1e-05,4,4
56366,-0.00012,-0.00032,-9e-05,-0.00016,-0.00022,8e-05,-0.00015,-0.00016,6,4
21680,-9e-05,-9e-05,-9e-05,-0.00053,-0.00079,-0.0002,-5e-05,-4e-05,5,4
56366,-0.00012,-0.00032,-9e-05,-0.00016,-0.00022,8e-05,-0.00015,-0.00016,6,4
33206,-1e-05,-1e-05,0.0,-1e-05,0.0,-2e-05,0.0,1e-05,1,5
6428,-1e-05,3e-05,1e-05,-2e-05,2e-05,0.0,4e-05,-1e-05,2,5
33206,-1e-05,-1e-05,0.0,-1e-05,0.0,-2e-05,0.0,1e-05,1,5
41626,0.00018,0.00034,4e-05,0.0,-2e-05,9e-05,-6e-05,-6e-05,3,5
33206,-1e-05,-1e-05,0.0,-1e-05,0.0,-2e-05,0.0,1e-05,1,5
47360,-2e-05,-2e-05,-6e-05,-9e-05,-0.00065,-0.00012,-6e-05,-2e-05,4,5
33206,-1e-05,-1e-05,0.0,-1e-05,0.0,-2e-05,0.0,1e-05,1,5
52006,-7e-05,-9e-05,-0.00014,-0.00015,-0.00024,-9e-05,-7e-05,-5e-05,5,5
33206,-1e-05,-1e-05,0.0,-1e-05,0.0,-2e-05,0.0,1e-05,1,5
28827,2e-05,1e-05,2e-05,3e-05,5e-05,0.00014,8e-05,-2e-05,6,5
6428,-1e-05,3e-05,1e-05,-2e-05,2e-05,0.0,4e-05,-1e-05,2,5
41626,0.00018,0.00034,4e-05,0.0,-2e-05,9e-05,-6e-05,-6e-05,3,5
6428,-1e-05,3e-05,1e-05,-2e-05,2e-05,0.0,4e-05,-1e-05,2,5
47360,-2e-05,-2e-05,-6e-05,-9e-05,-0.00065,-0.00012,-6e-05,-2e-05,4,5
6428,-1e-05,3e-05,1e-05,-2e-05,2e-05,0.0,4e-05,-1e-05,2,5
52006,-7e-05,-9e-05,-0.00014,-0.00015,-0.00024,-9e-05,-7e-05,-5e-05,5,5
6428,-1e-05,3e-05,1e-05,-2e-05,2e-05,0.0,4e-05,-1e-05,2,5
28827,2e-05,1e-05,2e-05,3e-05,5e-05,0.00014,8e-05,-2e-05,6,5
41626,0.00018,0.00034,4e-05,0.0,-2e-05,9e-05,-6e-05,-6e-05,3,5
47360,-2e-05,-2e-05,-6e-05,-9e-05,-0.00065,-0.00012,-6e-05,-2e-05,4,5
41626,0.00018,0.00034,4e-05,0.0,-2e-05,9e-05,-6e-05,-6e-05,3,5
52006,-7e-05,-9e-05,-0.00014,-0.00015,-0.00024,-9e-05,-7e-05,-5e-05,5,5
41626,0.00018,0.00034,4e-05,0.0,-2e-05,9e-05,-6e-05,-6e-05,3,5
28827,2e-05,1e-05,2e-05,3e-05,5e-05,0.00014,8e-05,-2e-05,6,5
47360,-2e-05,-2e-05,-6e-05,-9e-05,-0.00065,-0.00012,-6e-05,-2e-05,4,5
52006,-7e-05,-9e-05,-0.00014,-0.00015,-0.00024,-9e-05,-7e-05,-5e-05,5,5
47360,-2e-05,-2e-05,-6e-05,-9e-05,-0.00065,-0.00012,-6e-05,-2e-05,4,5
28827,2e-05,1e-05,2e-05,3e-05,5e-05,0.00014,8e-05,-2e-05,6,5
52006,-7e-05,-9e-05,-0.00014,-0.00015,-0.00024,-9e-05,-7e-05,-5e-05,5,5
28827,2e-05,1e-05,2e-05,3e-05,5e-05,0.00014,8e-05,-2e-05,6,5
1388,0.0,0.0,0.0,0.0,-3e-05,-2e-05,-1e-05,-2e-05,1,6
29767,-4e-05,-5e-05,-8e-05,-3e-05,4e-05,-7e-05,-6e-05,-4e-05,2,6
1388,0.0,0.0,0.0,0.0,-3e-05,-2e-05,-1e-05,-2e-05,1,6
10866,0.00014,0.00014,6e-05,5e-05,2e-05,-1e-05,-4e-05,-0.00011,3,6
1388,0.0,0.0,0.0,0.0,-3e-05,-2e-05,-1e-05,-2e-05,1,6
15508,1e-05,1e-05,0.0,-0.00011,-0.00012,2e-05,0.0,4e-05,4,6
1388,0.0,0.0,0.0,0.0,-3e-05,-2e-05,-1e-05,-2e-05,1,6
46041,2e-05,6e-05,1e-05,2e-05,-4e-05,-8e-05,-1e-05,-7e-05,5,6
1388,0.0,0.0,0.0,0.0,-3e-05,-2e-05,-1e-05,-2e-05,1,6
22529,6e-05,1e-05,-1e-05,4e-05,0.00026,8e-05,0.00012,3e-05,6,6
29767,-4e-05,-5e-05,-8e-05,-3e-05,4e-05,-7e-05,-6e-05,-4e-05,2,6
10866,0.00014,0.00014,6e-05,5e-05,2e-05,-1e-05,-4e-05,-0.00011,3,6
29767,-4e-05,-5e-05,-8e-05,-3e-05,4e-05,-7e-05,-6e-05,-4e-05,2,6
15508,1e-05,1e-05,0.0,-0.00011,-0.00012,2e-05,0.0,4e-05,4,6
29767,-4e-05,-5e-05,-8e-05,-3e-05,4e-05,-7e-05,-6e-05,-4e-05,2,6
46041,2e-05,6e-05,1e-05,2e-05,-4e-05,-8e-05,-1e-05,-7e-05,5,6
29767,-4e-05,-5e-05,-8e-05,-3e-05,4e-05,-7e-05,-6e-05,-4e-05,2,6
22529,6e-05,1e-05,-1e-05,4e-05,0.00026,8e-05,0.00012,3e-05,6,6
10866,0.00014,0.00014,6e-05,5e-05,2e-05,-1e-05,-4e-05,-0.00011,3,6
15508,1e-05,1e-05,0.0,-0.00011,-0.00012,2e-05,0.0,4e-05,4,6
10866,0.00014,0.00014,6e-05,5e-05,2e-05,-1e-05,-4e-05,-0.00011,3,6
46041,2e-05,6e-05,1e-05,2e-05,-4e-05,-8e-05,-1e-05,-7e-05,5,6
10866,0.00014,0.00014,6e-05,5e-05,2e-05,-1e-05,-4e-05,-0.00011,3,6
22529,6e-05,1e-05,-1e-05,4e-05,0.00026,8e-05,0.00012,3e-05,6,6
15508,1e-05,1e-05,0.0,-0.00011,-0.00012,2e-05,0.0,4e-05,4,6
46041,2e-05,6e-05,1e-05,2e-05,-4e-05,-8e-05,-1e-05,-7e-05,5,6
15508,1e-05,1e-05,0.0,-0.00011,-0.00012,2e-05,0.0,4e-05,4,6
22529,6e-05,1e-05,-1e-05,4e-05,0.00026,8e-05,0.00012,3e-05,6,6
46041,2e-05,6e-05,1e-05,2e-05,-4e-05,-8e-05,-1e-05,-7e-05,5,6
22529,6e-05,1e-05,-1e-05,4e-05,0.00026,8e-05,0.00012,3e-05,6,6
36966,-1e-05,-1e-05,-2e-05,-2e-05,-0.0001,-2e-05,1e-05,-2e-05,1,7
39336,-0.00056,-0.00024,-0.00016,-6e-05,-0.0001,-0.00036,-0.00015,-0.00026,2,7
36966,-1e-05,-1e-05,-2e-05,-2e-05,-0.0001,-2e-05,1e-05,-2e-05,1,7
47501,-7e-05,-2e-05,-2e-05,-1e-05,0.00025,0.00015,7e-05,0.00056,3,7
36966,-1e-05,-1e-05,-2e-05,-2e-05,-0.0001,-2e-05,1e-05,-2e-05,1,7
18872,6e-05,0.0,-0.00021,0.00035,-0.00011,6e-05,4e-05,3e-05,4,7
36966,-1e-05,-1e-05,-2e-05,-2e-05,-0.0001,-2e-05,1e-05,-2e-05,1,7
28562,-0.00025,0.0,-2e-05,1e-05,-0.00016,-3e-05,-2e-05,8e-05,5,7
36966,-1e-05,-1e-05,-2e-05,-2e-05,-0.0001,-2e-05,1e-05,-2e-05,1,7
63374,3e-05,1e-05,0.00019,-7e-05,5e-05,0.00025,0.00024,6e-05,6,7
39336,-0.00056,-0.00024,-0.00016,-6e-05,-0.0001,-0.00036,-0.00015,-0.00026,2,7
47501,-7e-05,-2e-05,-2e-05,-1e-05,0.00025,0.00015,7e-05,0.00056,3,7
39336,-0.00056,-0.00024,-0.00016,-6e-05,-0.0001,-0.00036,-0.00015,-0.00026,2,7
18872,6e-05,0.0,-0.00021,0.00035,-0.00011,6e-05,4e-05,3e-05,4,7
39336,-0.00056,-0.00024,-0.00016,-6e-05,-0.0001,-0.00036,-0.00015,-0.00026,2,7
28562,-0.00025,0.0,-2e-05,1e-05,-0.00016,-3e-05,-2e-05,8e-05,5,7
39336,-0.00056,-0.00024,-0.00016,-6e-05,-0.0001,-0.00036,-0.00015,-0.00026,2,7
63374,3e-05,1e-05,0.00019,-7e-05,5e-05,0.00025,0.00024,6e-05,6,7
47501,-7e-05,-2e-05,-2e-05,-1e-05,0.00025,0.00015,7e-05,0.00056,3,7
18872,6e-05,0.0,-0.00021,0.00035,-0.00011,6e-05,4e-05,3e-05,4,7
47501,-7e-05,-2e-05,-2e-05,-1e-05,0.00025,0.00015,7e-05,0.00056,3,7
28562,-0.00025,0.0,-2e-05,1e-05,-0.00016,-3e-05,-2e-05,8e-05,5,7
47501,-7e-05,-2e-05,-2e-05,-1e-05,0.00025,0.00015,7e-05,0.00056,3,7
63374,3e-05,1e-05,0.00019,-7e-05,5e-05,0.00025,0.00024,6e-05,6,7
18872,6e-05,0.0,-0.00021,0.00035,-0.00011,6e-05,4e-05,3e-05,4,7
28562,-0.00025,0.0,-2e-05,1e-05,-0.00016,-3e-05,-2e-05,8e-05,5,7
18872,6e-05,0.0,-0.00021,0.00035,-0.00011,6e-05,4e-05,3e-05,4,7
63374,3e-05,1e-05,0.00019,-7e-05,5e-05,0.00025,0.00024,6e-05,6,7
28562,-0.00025,0.0,-2e-05,1e-05,-0.00016,-3e-05,-2e-05,8e-05,5,7
63374,3e-05,1e-05,0.00019,-7e-05,5e-05,0.00025,0.00024,6e-05,6,7
36215,-2e-05,-2e-05,1e-05,2e-05,-3e-05,-2e-05,-1e-05,0.0,1,8
35205,0.00093,0.00027,0.00026,-0.00064,0.0,0.00019,0.00069,0.0004,2,8
36215,-2e-05,-2e-05,1e-05,2e-05,-3e-05,-2e-05,-1e-05,0.0,1,8
41170,-7e-05,-0.00012,0.0,-9e-05,-7e-05,0.00021,0.00015,0.00034,3,8
36215,-2e-05,-2e-05,1e-05,2e-05,-3e-05,-2e-05,-1e-05,0.0,1,8
46601,0.00044,0.00028,0.00057,0.00028,0.00015,0.00016,-3e-05,0.00016,4,8
36215,-2e-05,-2e-05,1e-05,2e-05,-3e-05,-2e-05,-1e-05,0.0,1,8
24252,2e-05,-0.00018,0.0002,-3e-05,0.00016,0.00016,-5e-05,-1e-05,5,8
36215,-2e-05,-2e-05,1e-05,2e-05,-3e-05,-2e-05,-1e-05,0.0,1,8
60250,-4e-05,-5e-05,-3e-05,0.00014,-1e-05,-0.00041,-1e-05,-0.00048,6,8
35205,0.00093,0.00027,0.00026,-0.00064,0.0,0.00019,0.00069,0.0004,2,8
41170,-7e-05,-0.00012,0.0,-9e-05,-7e-05,0.00021,0.00015,0.00034,3,8
35205,0.00093,0.00027,0.00026,-0.00064,0.0,0.00019,0.00069,0.0004,2,8
46601,0.00044,0.00028,0.00057,0.00028,0.00015,0.00016,-3e-05,0.00016,4,8
35205,0.00093,0.00027,0.00026,-0.00064,0.0,0.00019,0.00069,0.0004,2,8
24252,2e-05,-0.00018,0.0002,-3e-05,0.00016,0.00016,-5e-05,-1e-05,5,8
35205,0.00093,0.00027,0.00026,-0.00064,0.0,0.00019,0.00069,0.0004,2,8
60250,-4e-05,-5e-05,-3e-05,0.00014,-1e-05,-0.00041,-1e-05,-0.00048,6,8
41170,-7e-05,-0.00012,0.0,-9e-05,-7e-05,0.00021,0.00015,0.00034,3,8
46601,0.00044,0.00028,0.00057,0.00028,0.00015,0.00016,-3e-05,0.00016,4,8
41170,-7e-05,-0.00012,0.0,-9e-05,-7e-05,0.00021,0.00015,0.00034,3,8
24252,2e-05,-0.00018,0.0002,-3e-05,0.00016,0.00016,-5e-05,-1e-05,5,8
41170,-7e-05,-0.00012,0.0,-9e-05,-7e-05,0.00021,0.00015,0.00034,3,8
60250,-4e-05,-5e-05,-3e-05,0.00014,-1e-05,-0.00041,-1e-05,-0.00048,6,8
46601,0.00044,0.00028,0.00057,0.00028,0.00015,0.00016,-3e-05,0.00016,4,8
24252,2e-05,-0.00018,0.0002,-3e-05,0.00016,0.00016,-5e-05,-1e-05,5,8
46601,0.00044,0.00028,0.00057,0.00028,0.00015,0.00016,-3e-05,0.00016,4,8
60250,-4e-05,-5e-05,-3e-05,0.00014,-1e-05,-0.00041,-1e-05,-0.00048,6,8
24252,2e-05,-0.00018,0.0002,-3e-05,0.00016,0.00016,-5e-05,-1e-05,5,8
60250,-4e-05,-5e-05,-3e-05,0.00014,-1e-05,-0.00041,-1e-05,-0.00048,6,8
33758,-1e-05,-2e-05,-2e-05,-4e-05,-2e-05,-1e-05,0.0,-3e-05,1,9
5305,0.00018,5e-05,0.0,2e-05,-3e-05,-0.00021,2e-05,0.00013,2,9
33758,-1e-05,-2e-05,-2e-05,-4e-05,-2e-05,-1e-05,0.0,-3e-05,1,9
45529,0.0002,5e-05,0.0,-1e-05,3e-05,-1e-05,-0.00012,-0.00032,3,9
33758,-1e-05,-2e-05,-2e-05,-4e-05,-2e-05,-1e-05,0.0,-3e-05,1,9
52121,2e-05,4e-05,6e-05,9e-05,0.00088,0.00017,9e-05,5e-05,4,9
33758,-1e-05,-2e-05,-2e-05,-4e-05,-2e-05,-1e-05,0.0,-3e-05,1,9
54933,-5e-05,-0.00013,-0.0001,-0.00026,-0.0002,-3e-05,0.0,-3e-05,5,9
33758,-1e-05,-2e-05,-2e-05,-4e-05,-2e-05,-1e-05,0.0,-3e-05,1,9
61269,3e-05,-3e-05,-6e-05,1e-05,0.00024,-0.00031,-0.0001,-7e-05,6,9
5305,0.00018,5e-05,0.0,2e-05,-3e-05,-0.00021,2e-05,0.00013,2,9
45529,0.0002,5e-05,0.0,-1e-05,3e-05,-1e-05,-0.00012,-0.00032,3,9
5305,0.00018,5e-05,0.0,2e-05,-3e-05,-0.00021,2e-05,0.00013,2,9
52121,2e-05,4e-05,6e-05,9e-05,0.00088,0.00017,9e-05,5e-05,4,9
5305,0.00018,5e-05,0.0,2e-05,-3e-05,-0.00021,2e-05,0.00013,2,9
54933,-5e-05,-0.00013,-0.0001,-0.00026,-0.0002,-3e-05,0.0,-3e-05,5,9
5305,0.00018,5e-05,0.0,2e-05,-3e-05,-0.00021,2e-05,0.00013,2,9
61269,3e-05,-3e-05,-6e-05,1e-05,0.00024,-0.00031,-0.0001,-7e-05,6,9
45529,0.0002,5e-05,0.0,-1e-05,3e-05,-1e-05,-0.00012,-0.00032,3,9
52121,2e-05,4e-05,6e-05,9e-05,0.00088,0.00017,9e-05,5e-05,4,9
45529,0.0002,5e-05,0.0,-1e-05,3e-05,-1e-05,-0.00012,-0.00032,3,9
54933,-5e-05,-0.00013,-0.0001,-0.00026,-0.0002,-3e-05,0.0,-3e-05,5,9
45529,0.0002,5e-05,0.0,-1e-05,3e-05,-1e-05,-0.00012,-0.00032,3,9
61269,3e-05,-3e-05,-6e-05,1e-05,0.00024,-0.00031,-0.0001,-7e-05,6,9
52121,2e-05,4e-05,6e-05,9e-05,0.00088,0.00017,9e-05,5e-05,4,9
54933,-5e-05,-0.00013,-0.0001,-0.00026,-0.0002,-3e-05,0.0,-3e-05,5,9
52121,2e-05,4e-05,6e-05,9e-05,0.00088,0.00017,9e-05,5e-05,4,9
61269,3e-05,-3e-05,-6e-05,1e-05,0.00024,-0.00031,-0.0001,-7e-05,6,9
54933,-5e-05,-0.00013,-0.0001,-0.00026,-0.0002,-3e-05,0.0,-3e-05,5,9
61269,3e-05,-3e-05,-6e-05,1e-05,0.00024,-0.00031,-0.0001,-7e-05,6,9
2516,1e-05,-3e-05,-5e-05,-3e-05,-5e-05,-2e-05,-2e-05,-1e-05,1,10
6334,0.00014,6e-05,7e-05,7e-05,0.0002,-0.0001,0.00019,0.00024,2,10
2516,1e-05,-3e-05,-5e-05,-3e-05,-5e-05,-2e-05,-2e-05,-1e-05,1,10
42833,-0.00016,-1e-05,-1e-05,6e-05,-0.00022,0.00017,0.0002,-0.00011,3,10
2516,1e-05,-3e-05,-5e-05,-3e-05,-5e-05,-2e-05,-2e-05,-1e-05,1,10
